noise,alpha,labelling,seed,balanced_accuracy,macro_f1,pr_auc
violet,3.142,binary,5,0.5797468132791708,0.3726235741444867,0.4465129698930338
violet,3.142,signed,5,0.5738763917180795,0.37511267286548183,
violet,3.142,binary,6,0.5286140418715131,0.43781094527363185,0.487984212473594
violet,3.142,signed,6,0.48821052803421733,0.36291374585858605,
violet,3.142,binary,7,0.586274046042258,0.41729323308270677,0.47910032827022186
violet,3.142,signed,7,0.5612858719646799,0.4050937574821754,
violet,3.142,binary,8,0.49737491190979566,0.3202725724020443,0.3005636177163423
violet,3.142,signed,8,0.44551851128926434,0.27845173337508494,
violet,3.142,binary,9,0.607820197044335,0.43537414965986393,0.4727437226672489
violet,3.142,signed,9,0.5650570408033094,0.4698315852678269,
el_nino,1.0,binary,0,0.5059893744987971,0.3236514522821577,0.3597305230367828
el_nino,1.0,signed,0,0.5164784927715962,0.38468670270292843,
el_nino,1.0,binary,1,0.54289632557997,0.3916349809885932,0.35571731783413674
el_nino,1.0,signed,1,0.5128053219678548,0.38663097479480685,
el_nino,1.0,binary,2,0.5544774865591398,0.34760705289672544,0.37472836710793506
el_nino,1.0,signed,2,0.47633981908175455,0.40075619601452755,
el_nino,1.0,binary,3,0.5119631901840491,0.4054982817869416,0.29744536802890637
el_nino,1.0,signed,3,0.48853758907959444,0.36197698127833106,
el_nino,1.0,binary,4,0.5421365037120045,0.3463687150837989,0.32420800940324396
el_nino,1.0,signed,4,0.45077000182248955,0.31137154859644106,
el_nino,1.0,binary,5,0.5603638464770977,0.3613595706618962,0.24479671468420164
el_nino,1.0,signed,5,0.5263338076626933,0.3250484051490552,
el_nino,1.0,binary,6,0.5861183229299011,0.47058823529411764,0.5405362527896732
el_nino,1.0,signed,6,0.4705729281452278,0.39756084563525046,
